city,city_key,pretty_city,cluster,UMAP1,UMAP2,x_plot,y_plot,image_path
SALZBURG,SALZBURG,Salzburg,4,3.3899906,14.32807,3.380924350668884,14.328164210927882,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Salzburg.jpg
SATU_MARE,SATU_MARE,Satu Mare,6,4.308946,11.802014,4.410644208103683,11.729301520338595,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Satu_Mare.jpg
STAVANGER,STAVANGER,Stavanger,4,3.5212395,14.661059,3.5117850425989716,14.633974677512075,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Stavanger.jpg
TARBES,TARBES,Tarbes,6,4.2333293,11.883299,4.191571569180256,11.945656947723469,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Tarbes.jpg
TOLEDO,TOLEDO,Toledo,2,2.6715438,11.1633,2.850781784893695,11.292432503068044,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Toledo.jpg
TULCEA,TULCEA,Tulcea,2,5.0235043,11.986792,4.961229246171704,11.974098950394936,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Tulcea.jpg
USTI_NAD_LABEM,USTI_NAD_LABEM,Ústí nad Labem,1,1.1755406,13.28664,1.175540540449803,13.286640210101098,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Usti_Nad_Labem.jpg
VALLETTA,VALLETTA,Valletta,1,1.9195802,11.2569275,1.906862109220625,11.272376149531485,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Valletta.jpg
VASTERAS,VASTERAS,Västerås,7,6.7656302,13.856235,6.630013058781624,13.856234716383963,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Vasteras.jpg
WORCESTER,WORCESTER,Worcester,4,3.0929413,15.1552725,3.064772481304195,15.062449556350707,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Worcester.jpg
ZILINA,ZILINA,Žilina,1,0.6012127,12.615848,0.7368298667669296,12.616297602425002,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Zilina.jpg
