k,silhouette,calinski_harabasz,davies_bouldin,minimum_cluster_size,rank_silhouette,rank_calinski_harabasz,rank_davies_bouldin,mean_quality_rank
2,0.14312317713785394,14.743397193941133,2.235960819569311,26,1.0,1.0,9.0,3.6666666666666665
3,0.12287938398119698,13.772822600905592,2.0883288811933496,20,2.0,2.0,6.0,3.3333333333333335
4,0.12069732214733339,12.092819799926882,2.042903356232813,11,3.0,3.0,3.0,3.0
5,0.09048986612310608,11.017858542089991,2.1648877053299143,11,8.0,4.0,8.0,6.666666666666667
6,0.09480694145548155,10.514532972729299,2.09473112333492,5,6.0,5.0,7.0,6.0
7,0.09671624937695425,9.800569252294363,2.0430570998878888,5,5.0,6.0,4.0,5.0
8,0.08676190715584305,9.24458032801326,2.0674410048601626,5,9.0,7.0,5.0,7.0
9,0.0920297340384367,8.768058834241177,1.9569774259963735,3,7.0,8.0,2.0,5.666666666666667
10,0.09885974544358826,8.399202451957446,1.8821306816728793,3,4.0,9.0,1.0,4.666666666666667
