cluster,rank,itemset,itemset_description,cluster_mean_exact_support,overall_mean_exact_support,cluster_minus_overall
4,8,11220 12220 14100,discontinuous medium-density urban fabric + other roads and associated land + green urban areas,0.2813572093216547,0.10261300056412523,0.17874420875752947
4,9,11210 11220 12100,discontinuous dense urban fabric + discontinuous medium-density urban fabric + industrial/commercial/public/military/private units,0.33362168630957695,0.18423605509867957,0.14938563121089737
4,10,11210 11220 12100 12220,discontinuous dense urban fabric + discontinuous medium-density urban fabric + industrial/commercial/public/military/private units + other roads and associated land,0.3334085645472681,0.18407176857355526,0.14933679597371283
4,11,11210 11220 14100,discontinuous dense urban fabric + discontinuous medium-density urban fabric + green urban areas,0.22027574068094205,0.08153412260100172,0.13874161807994034
4,12,11210 11220 12220 14100,discontinuous dense urban fabric + discontinuous medium-density urban fabric + other roads and associated land + green urban areas,0.22009994787561216,0.08149256254067043,0.1386073853349417
4,13,11220 12100 14100,discontinuous medium-density urban fabric + industrial/commercial/public/military/private units + green urban areas,0.20406753114504061,0.07154886317336583,0.13251866797167478
4,14,11220 12100 12220 14100,discontinuous medium-density urban fabric + industrial/commercial/public/military/private units + other roads and associated land + green urban areas,0.20378915101477987,0.07148351311442246,0.13230563790035743
4,15,11220 11230 12220,discontinuous medium-density urban fabric + discontinuous low-density urban fabric + other roads and associated land,0.27437723444142487,0.14462436141417562,0.12975287302724925
5,1,11230,discontinuous low-density urban fabric,0.5316526890942544,0.23609486024651571,0.29555782884773873
5,2,11230 12220,discontinuous low-density urban fabric + other roads and associated land,0.5265196927996935,0.23361774513025396,0.2929019476694395
5,3,11230 23000,discontinuous low-density urban fabric + pastures,0.40524860074571684,0.12438862816639404,0.2808599725793228
5,4,23000 31000,pastures + forests,0.47330313831317056,0.19314480196841807,0.2801583363447525
5,5,11230 12220 23000,discontinuous low-density urban fabric + other roads and associated land + pastures,0.400646049118672,0.12277671249740336,0.27786933662126867
5,6,31000,forests,0.5627319659619544,0.29269036965265466,0.27004159630929975
5,7,12220 23000 31000,other roads and associated land + pastures + forests,0.4273646074603524,0.16359917356827075,0.2637654338920816
5,8,12220 31000,other roads and associated land + forests,0.5114330224746013,0.2532114740967861,0.2582215483778152
5,9,11230 31000,discontinuous low-density urban fabric + forests,0.30675814158314485,0.060290199165505855,0.246467942417639
5,10,23000,pastures,0.6954896482512728,0.4503828058556061,0.2451068423956667
5,11,11230 12220 31000,discontinuous low-density urban fabric + other roads and associated land + forests,0.30311165582819305,0.05946487998559113,0.24364677584260191
