metric,minimum,maximum
trustworthiness_k10,0.8541065088757396,0.9137514792899408
knn_overlap_k10,0.516,0.597
distance_spearman,0.5200119442609679,0.7306999684918964
ari_2d_vs_primary,0.34189286791156237,0.612121153283396
nmi_2d_vs_primary,0.5976576784227392,0.7576295942891017
