k,silhouette,calinski_harabasz,davies_bouldin,minimum_cluster_size,rank_silhouette,rank_calinski_harabasz,rank_davies_bouldin,mean_quality_rank
2,0.12866787723901071,15.928803119455948,2.3139309887244983,35,3.0,1.0,9.0,4.333333333333333
3,0.12949692105048932,14.62607982981418,2.018235584635303,18,2.0,2.0,5.0,3.0
4,0.1354858156597204,12.732312177388838,2.036067575425117,11,1.0,3.0,6.0,3.3333333333333335
5,0.11957803766786994,11.829546003676697,2.0999346911810854,11,6.0,4.0,8.0,6.0
6,0.12347081684884159,10.748362640917563,1.956846435234804,3,5.0,5.0,3.0,4.333333333333333
7,0.12855263006249548,9.972822518125279,1.8615390777700445,3,4.0,6.0,1.0,3.6666666666666665
8,0.1001959194728581,9.417344298992017,2.057502859629926,3,9.0,7.0,7.0,7.666666666666667
9,0.10350530579599099,9.030377733836911,1.9644429494789344,3,8.0,8.0,4.0,6.666666666666667
10,0.10547458535146507,8.753112486834633,1.872377768674466,3,7.0,9.0,2.0,6.0
