city,country_code,source_file,source_file_sha256
LE_MANS,FR,FR038L2_LE_MANS_UA2018.txt,ea46734383a98dd093d46ed6c7dd744a9616418105328254adf1270b3c4345be
LIBEREC,CZ,CZ007L2_LIBEREC_UA2018.txt,304f6f0fde8131a414fb091a115e0f67af8267b66477e08fccdb43e517dd8481
LIEPAJA,LV,LV002L2_LIEPAJA_UA2018.txt,1b9a0bddb885057db8ce801f667c0f67beb35ba49faacab5c641aa2913fb13fa
LINCOLN,UK,UK019L3_LINCOLN_UA2018.txt,48c2917ca5d4631fb1bc82a1c495d0e39c8c138afe8496fb303c6135082936d1
LIVORNO,IT,IT504L3_LIVORNO_UA2018.txt,4dac353d5ff1ff40687b386ee5cb168f156380035f5aede71bb2477593a8fc2a
LJUBLJANA,SI,SI001L2_LJUBLJANA_UA2018.txt,6f42e8a64b4af9b5c80990b5214327b1504dcf5c9548b04584613a74bf2f8792
LUBECK,DE,DE510L1_LUBECK_UA2018.txt,8cd024f55325dd23216c6234018b03bc24af650a65df6fc0c2facc91de8c3c47
LUXEMBOURG,LU,LU001L1_LUXEMBOURG_UA2018.txt,27b790ceb76413abbe1b583c555b2b38cc85793d973d273eb72294de4be43965
MAASTRICHT,NL,NL505L3_MAASTRICHT_UA2018.txt,3a868e530b9971346bddbd85c21619329d5bdf7b542b0db619d6c566914aee7b
MANRESA,ES,ES050L1_MANRESA_UA2018.txt,39f059cf0bf04e267a20e9a1ce1fe5379fd6204b2cdc7dd59836f5daef6c0ab5
MARIBOR,SI,SI002L1_MARIBOR_UA2018.txt,d1410979ee8d07c59367bfd92de029e4f29e2d13103950041a0cd233d7c9596b
MARTIGUES,FR,FR324L1_MARTIGUES_UA2018.txt,5a99c367c574a03e63f1dc3c3fa22603e0bcec3f634653767542bccfbe298e30
MODENA,IT,IT030L3_MODENA_UA2018.txt,08702f21aaa551a79c237a502cdd25115f1183da01f47ca9b662750192832971
MOSTAR,BA,BA003L1_MOSTAR_UA2018.txt,b44af97dc24ef9f566b49a524fd125a450df9ee9b7bc521b389afa0aeb38d0c6
NARVA,EE,EE003L0_NARVA_UA2018.txt,aa83d4a2f1371a2cd115885241793853652d8f2e7f728a73df8569f5dfe8cf04
NEUMUNSTER,DE,DE055L0_NEUMUNSTER_UA2018.txt,10bad99dac6e6172f5b23204f0fe3937fe3a8a6cac94b21b946c5733b20e04ec
NEWPORT,UK,UK558L1_NEWPORT_UA2018.txt,11b0d732b08de397e604fd761b09d4761acc7ddf46d110fb2d9e1bb40f65338a
NITRA,SK,SK004L1_NITRA_UA2018.txt,e1f0c44b4afa78aecaeac613ab392d2d6588fbded8cecb57fd7344378cbda967
NORRKOPING,SE,SE502L1_NORRKOPING_UA2018.txt,c8a65fb718ecd07f485c99d1815ccee12f7991a45f57d773a57c83a308487cb5
NOVI_SAD,RS,RS002L1_NOVI_SAD_UA2018.txt,e74d2a8f0cb11a00c81f4a587320ad3913d279644a9d01d1093300ca89285928
NYIREGYHAZA,HU,HU003L2_NYIREGYHAZA_UA2018.txt,55f496ca5d0093092c40312643f592ff5424a49cb6d3a8f2a388a958b3f51e9e
ODENSE,DK,DK003L2_ODENSE_UA2018.txt,cbd8ade9894c2c505d97db22d845525b58c9063d02abd98a68ee4b8004210ee1
OLOMOUC,CZ,CZ006L2_OLOMOUC_UA2018.txt,1fad8255f48c0ff929b7d2d9b2186065921510a25a8fca86dfdfe2e40bb15c5f
OOSTENDE,BE,BE011L1_OOSTENDE_UA2018.txt,a8f4c6b29b98dbefe087c21a0ca88b2c5ed2472083f76e2727acf4d61c7ac3cb
ORLEANS,FR,FR019L2_ORLEANS_UA2018.txt,9d0891086cb45b72ca48778c41767a8f7353667b8427d4bb3d09d81f26d1a107
OSNABRUCK,DE,DE517L1_OSNABRUCK_UA2018.txt,b6dcb69d1f40f7d51376cea59df1b9aa39c355974f8ab86a39514518a230c424
OVIEDO,ES,ES013L2_OVIEDO_UA2018.txt,0128dfce10a88314e0fa53dc365047fb57a05c3a651cc485aaa7e43a39e994c3
PABIANICE,PL,PL043L1_PABIANICE_UA2018.txt,a7324a1f0d99c28b652341099c1a60b21e6ac779d5ec92ff15407eb3dcc7a2f5
PALENCIA,ES,ES041L1_PALENCIA_UA2018.txt,0bbdd670866792ac7f52897d9614e73b7fb52d5bc3272db77573319168ec3b7c
PANEVEZYS,LT,LT003L1_PANEVEZYS_UA2018.txt,cc55b67027d5b66c8bd07c4142e69edeaabc60893bc946f28ee1201536b063b1
PARDUBICE,CZ,CZ010L2_PARDUBICE_UA2018.txt,d19b06ecfa1f35ff8758936b230b4cd2380cf54b17d4b8090232f37c7049bdad
PARMA,IT,IT503L3_PARMA_UA2018.txt,effbf5568d0b04756ac8d9c9b55db9fe519963577849d0701b2b289e74c91511
PASSAU,DE,DE081L1_PASSAU_UA2018.txt,e77ad1b14072b95a24679de7c4e1647842d55b1cafe4f9480b5c5e5d6ea43b04
PAVIA,IT,IT046L2_PAVIA_UA2018.txt,4f15221391d30d5a1d5549fc383220f2924d2d425589e787079184c69b3b1542
PERPIGNAN,FR,FR043L2_PERPIGNAN_UA2018.txt,0271efea977d7f72293ee23183f1931cee96cbc4a4a2d53128d0f78e91027a9d
PERUGIA,IT,IT016L3_PERUGIA_UA2018.txt,6045db10ac10b97aab172f881e2e1f24844ffcce3ec69bfdd9479108202293b6
PESARO,IT,IT039L2_PESARO_UA2018.txt,9565a7081d034e7910df5a3dfcfea95f062b5ac83fe6a89206fc6c3c094a0293
PILA,PL,PL034L1_PILA_UA2018.txt,f9e7e858a0421e0dd9f9232e93a12678c077eb3e871a6ea5c158c9132c4e5b7a
PLAUEN,DE,DE063L1_PLAUEN_UA2018.txt,e70eb2051de9d117b396f54615d9392470a504ef1813094fddd60176e52bafdb
PLOVDIV,BG,BG002L2_PLOVDIV_UA2018.txt,73776acad3832034934982942369ee6a846e2a46c165f6c889fbb0ad01ed7299
PLZEN,CZ,CZ004L2_PLZEN_UA2018.txt,f71f84303a00c4e1273614128fee42b0e6b1f92ae1ae35373ddedad2b9b9304c
PODGORICA,ME,ME001L1_PODGORICA_UA2018.txt,637cbf3be620fb4f9c266a6a33cb0edc2cd3fda9e675820b2ad926f656652295
PRESOV,SK,SK005L1_PRESOV_UA2018.txt,643be9d5443947919338be2a925d91a8cbcaffe65fc218a6c6ef6299f4426ddf
PRILEP,MK,MK005L1_PRILEP_UA2018.txt,2e4cc67b8edbe4e4209d31ea7ef8fae5e72e261064fba4faee045c03a532af2a
PRISTINA,XK,XK001L1_PRISTINA_UA2018.txt,2c5f5abd44bfa8861527413d15b1f98e7b572b3ebc8a875b217dbb836737048f
REYKJAVIK,IS,IS001L1_REYKJAVIK_UA2018.txt,203b110cc1df5a38ee2fd35e9f15961e94d92575c42390aa94bb3c97c2ff4d84
RIJEKA,HR,HR002L2_RIJEKA_UA2018.txt,1bd6974173ca8da6a9fdd4ca822fed4eb6b935f6a3ce8aa58bad2324c1ad4704
SALZBURG,AT,AT004L3_SALZBURG_UA2018.txt,63700831af7b29577f4f66bb62368c5baced1c642b37ae9487040224b1fe499b
SATU_MARE,RO,RO509L1_SATU_MARE_UA2018.txt,3e90433d67c5c2d15296271767eb41babd090511bd95855534568cf3088e2ddf
SHKODER,AL,AL004L1_SHKODER_UA2018.txt,417826d6d4aab3191788ebc07996d940fa21b965584ed8cb171537b52086157f
STAVANGER,NO,NO004L1_STAVANGER_UA2018.txt,a64ae16682b1f091f729d3939ee986814a72f43b6726ead7059db38fbdcb60d0
TARBES,FR,FR073L2_TARBES_UA2018.txt,697637ce8ba1604eff6d42399b3dc0916b89fc2b456427cd31fb6d72ae445f78
TOLEDO,ES,ES016L2_TOLEDO_UA2018.txt,0b4ed86d95441f586d39ba1d1d74507af1a6248b7a388dfb9d2eef8356e46289
TULCEA,RO,RO017L1_TULCEA_UA2018.txt,f6514be9b5f25f183d751c6e1c01f179c6d8a2f77d55f03b91d719376a67e8e6
USTI_NAD_LABEM,CZ,CZ005L2_USTI_NAD_LABEM_UA2018.txt,cc2766511542c8472535b71f7e44b05dfd3c70eb3b911538dd997936f0a620fe
VALLETTA,MT,MT001L1_VALLETTA_UA2018.txt,87238137463458066ea494151de1ac26222f46a9ff38788cbc1f5a3c8c10e470
VASTERAS,SE,SE501L1_VASTERAS_UA2018.txt,6260b07fb982c1d621cc688efd825e1825dbba46b5f4b68d414964976918e9d2
WORCESTER,UK,UK024L1_WORCESTER_UA2018.txt,7dbd699d7877418f044cd7f4ec0afbb1a33664a87352eb900e92c0c0afaf7161
ZILINA,SK,SK006L1_ZILINA_UA2018.txt,5ec4f8f8512e180b16b4cb095aaf1643b579d9b08c87e533214b7627768729c2
