k,silhouette,calinski_harabasz,davies_bouldin,minimum_cluster_size,rank_silhouette,rank_calinski_harabasz,rank_davies_bouldin,mean_quality_rank
2,0.10227454075292108,14.404976212738935,2.333727333245858,35,9.0,1.0,9.0,6.333333333333333
3,0.12008340898644057,13.702783309661788,2.0561530651726905,14,5.0,2.0,6.0,4.333333333333333
4,0.12204712793568483,13.284277940759639,2.2385180133493288,14,3.0,3.0,8.0,4.666666666666667
5,0.12012348658515869,12.540430095455996,2.0690088401373417,14,4.0,4.0,7.0,5.0
6,0.1245796253452148,11.355011710636623,1.9502184396597604,7,2.0,5.0,4.0,3.6666666666666665
7,0.13105499751312366,10.478650000747026,1.8209987982341818,6,1.0,6.0,1.0,2.6666666666666665
8,0.11001779787476944,9.774479355666102,2.0256019681669244,6,8.0,7.0,5.0,6.666666666666667
9,0.11453999504491055,9.226730524646543,1.9258479883818782,3,7.0,8.0,3.0,6.0
10,0.12007536070654239,8.815970070275542,1.8233255718601988,2,6.0,9.0,2.0,5.666666666666667
