k,silhouette,calinski_harabasz,davies_bouldin,feature_stability_ari_mean,feature_stability_ari_sd,feature_stability_ari_p10,minimum_cluster_size,maximum_cluster_size,rank_silhouette,rank_calinski_harabasz,rank_davies_bouldin,rank_feature_stability,mean_quality_rank,used_for_main_results
2,0.125351802911864,15.910089296907717,2.425244761865259,0.4265653972400817,0.288357364020895,0.06284858553158974,49,51,2.0,1.0,9.0,9.0,5.25,False
3,0.12472711591799021,14.392575166051751,2.010158141359469,0.6244666291857149,0.19526885376438832,0.32660392775315295,18,49,3.0,2.0,5.0,6.0,4.0,False
4,0.12645677711201928,12.891090488264291,2.10362621926559,0.6777362612391451,0.14266856892107427,0.49524064193064216,14,35,1.0,3.0,8.0,4.0,4.0,False
5,0.12398385280159335,12.096049024487558,2.067937104056682,0.7348338882804119,0.10438109388535234,0.6009852528899412,9,35,4.0,4.0,6.0,3.0,4.25,False
6,0.11424640438979465,10.828424908136855,1.985885002417865,0.7615964013709982,0.10147989818907883,0.6144167823432553,6,35,6.0,5.0,4.0,1.0,4.0,False
7,0.1212874959725044,10.040509580193605,1.8355046734300597,0.7601263446745227,0.11480901577885538,0.5898084290618214,6,35,5.0,6.0,1.0,2.0,3.5,True
8,0.09922797271658038,9.358286203221159,2.079472837629992,0.619688896728025,0.08884741646778485,0.4998371707010408,6,21,9.0,7.0,7.0,7.0,7.5,False
9,0.10397566640261995,8.862934423597167,1.9734663637289858,0.6157427740417131,0.09639068577898761,0.48954036343646934,3,21,7.0,8.0,3.0,8.0,6.5,False
10,0.10024215183624191,8.485478433112807,1.9097857247648853,0.6671672547111398,0.09468979798926622,0.5502489868027474,3,18,8.0,9.0,2.0,5.0,6.0,False
