support_threshold_percent,union_itemsets,matrix_density,independently_ranked_k,fixed_k,ari_vs_10_percent,nmi_vs_10_percent,pairwise_distance_spearman_vs_10_percent,minimum_cluster_size,maximum_cluster_size
5.0,4202,0.1092265587815326,4,7,0.4325272457948102,0.6287014194442557,0.9891201942670862,5,27
7.5,2370,0.11340928270042194,3,7,0.8101837067104304,0.7965186703422809,0.9954484610906111,3,36
10.0,1543,0.11566429034348671,3,7,1.0,1.0,0.9999999999999999,6,35
12.5,1087,0.11816927322907084,7,7,0.9111590277417911,0.9252706039322419,0.9948932510306334,6,35
15.0,801,0.12218476903870162,2,7,0.5908044412688691,0.7199067038977602,0.9874967516949633,3,31
