k,silhouette,calinski_harabasz,davies_bouldin,minimum_cluster_size,rank_silhouette,rank_calinski_harabasz,rank_davies_bouldin,mean_quality_rank
2,0.125351802911864,15.910089296907717,2.425244761865259,49,2.0,1.0,9.0,4.0
3,0.12472711591799021,14.392575166051751,2.010158141359469,18,3.0,2.0,5.0,3.3333333333333335
4,0.12645677711201928,12.891090488264291,2.10362621926559,14,1.0,3.0,8.0,4.0
5,0.12398385280159335,12.096049024487558,2.067937104056682,9,4.0,4.0,6.0,4.666666666666667
6,0.11424640438979465,10.828424908136855,1.985885002417865,6,6.0,5.0,4.0,5.0
7,0.1212874959725044,10.040509580193605,1.8355046734300597,6,5.0,6.0,1.0,4.0
8,0.09922797271658038,9.358286203221159,2.079472837629992,6,9.0,7.0,7.0,7.666666666666667
9,0.10397566640261995,8.862934423597167,1.9734663637289858,3,7.0,8.0,3.0,6.0
10,0.10024215183624191,8.485478433112807,1.9097857247648853,3,8.0,9.0,2.0,6.333333333333333
