city,city_key,pretty_city,cluster,UMAP1,UMAP2,x_plot,y_plot,image_path
GUIMARAES,GUIMARAES,Guimaraes,5,5.790673,13.41167,5.836900291661288,13.287582281224626,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Guimaraes.jpg
HASTINGS,HASTINGS,Hastings,4,3.705578,14.816236,3.8705927176153248,14.867550886221762,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Hastings.jpg
HRADEC_KRALOVE,HRADEC_KRALOVE,Hradec Králové,1,1.2504003,12.4616,1.2998791149779914,12.439761146532204,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Hradec_Kralove.jpg
INNSBRUCK,INNSBRUCK,Innsbruck,4,3.5639038,14.140904,3.559148401577272,14.10501056462983,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Innsbruck.jpg
IOANNINA,IOANNINA,Ioannina,1,2.2779195,11.812748,2.3444515338683996,11.841113025125884,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Ioannina.jpg
IRUN,IRUN,Irun,6,4.5835557,13.043332,4.559240249746323,13.056668310451194,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Irun.jpg
KARLOVY_VARY,KARLOVY_VARY,Karlovy Vary,1,1.6140393,13.36064,1.586188938094663,13.443847650908596,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Karlovy_Vary.jpg
KECSKEMET,KECSKEMET,Kecskemet,6,5.461998,12.592879,5.654787614082633,12.529432105803384,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Kecskemet.jpg
KORTRIJK,KORTRIJK,Kortrijk,6,4.0215116,11.8122225,3.9910151680696972,11.858701777211072,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Kortrijk.jpg
KUOPIO,KUOPIO,Kuopio,7,6.835829,13.7718525,6.67605708826781,13.826442448059595,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\kuopio.jpg
LARISA,LARISA,Larisa,2,2.0753284,11.05576,2.093495673626244,11.113810041598319,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Larisa.jpg
LEMESOS,LEMESOS,Lemesos,3,3.5330193,11.434272,3.503420462824304,11.376984018004508,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Lemesos.jpg
LE_MANS,LE_MANS,le Mans,6,4.560383,12.80762,4.394630883837879,12.882213926634932,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Le_Mans.jpg
LIBEREC,LIBEREC,Liberec,1,1.924168,12.822541,1.8951509253406882,12.857977517183286,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Liberec.jpg
