n_neighbors,min_dist,metric,seed,trustworthiness_k10,knn_overlap_k10,distance_spearman,ari_2d_vs_primary,nmi_2d_vs_primary
5,0.0,euclidean,0,0.8541065088757396,0.516,0.589268783588403,0.5220886356130501,0.6941128417917286
5,0.0,euclidean,42,0.8666745562130178,0.5329999999999999,0.5589467099340406,0.43253580005336656,0.6463043031735473
5,0.0,euclidean,2026,0.881491124260355,0.54,0.5570818568342762,0.5220886356130501,0.6941128417917286
5,0.0,cosine,0,0.8660473372781066,0.5369999999999999,0.5200119442609679,0.47879599515337035,0.6830134704217523
5,0.0,cosine,42,0.8959881656804733,0.559,0.6082161555946771,0.471786840215367,0.6918847739330062
5,0.0,cosine,2026,0.8917869822485207,0.537,0.6410436084313461,0.5124004703510835,0.7021152782320546
5,0.1,euclidean,0,0.876094674556213,0.5519999999999999,0.6220380940810084,0.4249117250011048,0.6576627306913589
5,0.1,euclidean,42,0.8669467455621301,0.5219999999999999,0.61265802742171,0.5819147309144871,0.7130009511735623
5,0.1,euclidean,2026,0.8911360946745562,0.562,0.5941093657179186,0.45221077161598744,0.6543894460129819
5,0.1,cosine,0,0.8959408284023669,0.5640000000000001,0.5643575715573856,0.5406948672194815,0.7551943455277255
5,0.1,cosine,42,0.8878106508875739,0.555,0.6374406825222441,0.4870665026777327,0.6452906232874644
5,0.1,cosine,2026,0.8810059171597633,0.56,0.6290801533790862,0.4738222021467746,0.6874054103575129
5,0.5,euclidean,0,0.8896804733727811,0.581,0.630753753754099,0.39423113652665637,0.6225094003405212
5,0.5,euclidean,42,0.883905325443787,0.561,0.6387559258813361,0.46276691577604656,0.6847548426596012
5,0.5,euclidean,2026,0.8771360946745562,0.5299999999999999,0.619670189163278,0.408647407690836,0.6329763059811573
5,0.5,cosine,0,0.8945680473372781,0.559,0.6123174223613235,0.4780093498509289,0.678974890718954
5,0.5,cosine,42,0.8903195266272189,0.565,0.6248906905867894,0.3972525573237399,0.6381577724341339
5,0.5,cosine,2026,0.8758224852071006,0.5459999999999999,0.6418399469450776,0.4948064537988049,0.7042332361657002
15,0.0,euclidean,0,0.8848165680473373,0.568,0.6088103806980024,0.44419003925716205,0.6728753436071491
15,0.0,euclidean,42,0.9023313609467456,0.579,0.577451271646235,0.4154231523142449,0.6765676622146657
15,0.0,euclidean,2026,0.8942485207100592,0.582,0.5617150486642941,0.5917961355516854,0.7528773366827173
15,0.0,cosine,0,0.9102366863905326,0.585,0.6833402004498322,0.612121153283396,0.7576295942891017
15,0.0,cosine,42,0.9049940828402367,0.5850000000000001,0.6328546933976493,0.46485040136219896,0.6841052812351782
15,0.0,cosine,2026,0.904284023668639,0.588,0.6155341894149677,0.4709649416167984,0.6943067295625479
15,0.1,euclidean,0,0.9137514792899408,0.586,0.6890911654160315,0.46333716896450694,0.6904695747864131
15,0.1,euclidean,42,0.9090769230769231,0.577,0.6836526074216742,0.4678911620213895,0.6972163858462441
15,0.1,euclidean,2026,0.9109940828402366,0.597,0.6906101426015707,0.3574906110481022,0.6284267976901872
15,0.1,cosine,0,0.912923076923077,0.5939999999999999,0.6442250784544898,0.5716105113291227,0.7201338389917548
15,0.1,cosine,42,0.9059171597633136,0.597,0.634979075350146,0.393068421647303,0.6352127016542355
15,0.1,cosine,2026,0.9028402366863906,0.5779999999999998,0.6320360523473977,0.44934211366470994,0.6848564375867815
15,0.5,euclidean,0,0.8947218934911243,0.5760000000000001,0.6638614946371325,0.41987118168484155,0.6248656607399342
15,0.5,euclidean,42,0.8992662721893491,0.5669999999999998,0.6922415982091779,0.41943451413714655,0.6681123559022808
15,0.5,euclidean,2026,0.9133372781065089,0.5929999999999999,0.7277753215492365,0.4695219970067072,0.6800148940821585
15,0.5,cosine,0,0.9087218934911243,0.579,0.7206817758020962,0.4193840746724005,0.666682243527393
15,0.5,cosine,42,0.90301775147929,0.585,0.6993481775310371,0.5246807304599427,0.6876210405277906
15,0.5,cosine,2026,0.9065680473372781,0.58,0.7056554310866598,0.42135926813745367,0.6817556435677543
30,0.0,euclidean,0,0.9013491124260355,0.563,0.6899036079643314,0.34189286791156237,0.5976576784227392
30,0.0,euclidean,42,0.9089585798816568,0.5690000000000001,0.6846115236876634,0.48215794578080057,0.6899448475530696
30,0.0,euclidean,2026,0.9131242603550296,0.5830000000000001,0.6730770198112642,0.5084973358096774,0.7095509883696506
30,0.0,cosine,0,0.9125680473372781,0.583,0.6934549996370375,0.513878299602278,0.7184972243657354
30,0.0,cosine,42,0.9039171597633135,0.587,0.6645389193678867,0.5089926467802831,0.7050391581063954
30,0.0,cosine,2026,0.9040473372781065,0.593,0.6720847223614111,0.38742279779223554,0.6656276846375895
30,0.1,euclidean,0,0.9040828402366864,0.581,0.7075569347956191,0.4275924022134405,0.6103679160284106
30,0.1,euclidean,42,0.9048520710059171,0.5700000000000001,0.7027386763754795,0.49227465200211085,0.6647215787471262
30,0.1,euclidean,2026,0.9103195266272189,0.58,0.6691146816073615,0.41450327918733865,0.6444315900811742
30,0.1,cosine,0,0.9092426035502958,0.582,0.6802543598066911,0.4334941390605886,0.6688535931367879
30,0.1,cosine,42,0.909396449704142,0.572,0.6696185544176534,0.4714022100229904,0.6849869214616693
30,0.1,cosine,2026,0.9011834319526627,0.589,0.6787794840968273,0.5534910137212841,0.6990353994871397
30,0.5,euclidean,0,0.90301775147929,0.5589999999999999,0.7264071912655014,0.500496221085579,0.6495377270904674
30,0.5,euclidean,42,0.897905325443787,0.5730000000000001,0.708801104835235,0.462562187102748,0.6389938054719916
30,0.5,euclidean,2026,0.9027218934911243,0.5579999999999999,0.7062588426370119,0.3896766238861178,0.600934540630171
30,0.5,cosine,0,0.9012899408284024,0.5630000000000001,0.7151351764841074,0.4898895681353329,0.6928299011859782
30,0.5,cosine,42,0.9028047337278107,0.5720000000000001,0.6912687497093601,0.44137842703345026,0.6414427722577147
30,0.5,cosine,2026,0.9079881656804734,0.573,0.7306999684918964,0.5448557437481459,0.690589106257992
