k,silhouette,calinski_harabasz,davies_bouldin,minimum_cluster_size,rank_silhouette,rank_calinski_harabasz,rank_davies_bouldin,mean_quality_rank
2,0.18700261950637806,14.482965429245908,1.723776002781587,14,1.0,1.0,1.0,1.0
3,0.13507395443805545,13.596531480070421,1.8843991034047936,14,2.0,2.0,4.0,2.6666666666666665
4,0.11426688283604293,13.211912055650238,2.2046443706032237,14,6.0,3.0,9.0,6.0
5,0.11698803952570933,12.345030807206063,2.080442607694553,12,5.0,4.0,8.0,5.666666666666667
6,0.11731965131584644,11.126716490305634,1.9637202484173928,7,4.0,5.0,7.0,5.333333333333333
7,0.12523366523370297,10.265388407949468,1.8196810286958702,3,3.0,6.0,2.0,3.6666666666666665
8,0.1053069105386995,9.665021775545712,1.890993203970977,3,8.0,7.0,5.0,6.666666666666667
9,0.10220412088261688,9.227244943291279,1.9494790090869003,3,9.0,8.0,6.0,7.666666666666667
10,0.10970653704882816,8.84691859287179,1.8671131127301472,3,7.0,9.0,3.0,6.333333333333333
