repeat,k,ari
78,9,0.48704007858713505
78,10,0.5781609521915746
79,2,0.3301457535887802
79,3,0.8164175907671767
79,4,0.8197921449292979
79,5,0.721907096793842
79,6,0.7527214103682407
79,7,0.765773942920781
79,8,0.5860463350679991
79,9,0.5413962465419382
79,10,0.6143952477715642
80,2,0.6691051698782006
80,3,0.7180171768900948
80,4,0.6022557681736425
80,5,0.7520434549536196
80,6,0.806365051253153
80,7,0.6045367575670175
80,8,0.6029863344636386
80,9,0.6199680474940891
80,10,0.6216295768959592
81,2,0.30720953278116936
81,3,0.8119507423873487
81,4,0.5542618471002471
81,5,0.7675158011207958
81,6,0.8229117706365636
81,7,0.6197048228481099
81,8,0.6050999996388661
81,9,0.6469504654818246
81,10,0.7284966342557966
82,2,0.5138096559663675
82,3,0.5897556959182851
82,4,0.6946314480205061
82,5,0.758748852517744
82,6,0.8416824146026705
82,7,0.9261839330223046
82,8,0.8299197777080626
82,9,0.7525093375597917
82,10,0.8539406223917968
83,2,0.30720953278116936
83,3,0.8115569004384432
83,4,0.8755302912500661
83,5,0.8068519250883857
83,6,0.8900992027244973
83,7,0.8957472561644159
83,8,0.6959376932977724
83,9,0.6919358131151948
83,10,0.7547615091703768
84,2,0.5138096559663675
84,3,0.32554425058659026
84,4,0.6232438237148702
84,5,0.7003810631741314
84,6,0.7519032314027488
84,7,0.7781966748222688
84,8,0.5475840357012639
84,9,0.4945729177120008
84,10,0.5703064513858584
85,2,0.20566239864236086
85,3,0.6230926328722998
85,4,0.5759484550937648
85,5,0.5525442397111251
85,6,0.5948890294181811
85,7,0.6130442915099876
85,8,0.41737307673090446
85,9,0.4551514881273179
85,10,0.5566382981759037
86,2,0.2433106829978667
86,3,0.6567025710641027
86,4,0.6871508174208857
86,5,0.5987673779138121
86,6,0.6507078480998
86,7,0.5510450602145027
86,8,0.6369760514920244
86,9,0.54726303877884
86,10,0.6505619246625628
87,2,0.543336255159078
87,3,0.5453349974666759
87,4,0.6540493559024049
87,5,0.8505242555571089
