city,country_code,transactions,unique_transaction_patterns,repeated_transaction_occurrences,share_repeated_occurrences,minimum_transaction_length,median_transaction_length,mean_transaction_length,maximum_transaction_length,duplicate_codes_within_rows,blank_rows_ignored
OOSTENDE,BE,1044,373,671,0.64272030651341,2,5.0,5.293103448275862,22,0,0
ORLEANS,FR,8859,1900,6959,0.7855288407269443,2,5.0,5.655604470030477,22,0,0
OSNABRUCK,DE,2921,1054,1867,0.639164669633687,2,6.0,6.157137966449846,21,0,0
OVIEDO,ES,6025,1712,4313,0.715850622406639,2,6.0,6.151701244813278,20,0,0
PABIANICE,PL,1007,366,641,0.6365441906653426,2,6.0,5.855014895729891,19,0,0
PALENCIA,ES,1356,552,804,0.5929203539823009,2,6.0,5.906342182890856,21,0,0
PANEVEZYS,LT,1567,484,1083,0.6911295469049139,2,5.0,5.37906828334397,19,0,0
PARDUBICE,CZ,1725,688,1037,0.6011594202898551,2,6.0,5.8765217391304345,21,0,0
PARMA,IT,5065,1305,3760,0.7423494570582428,2,5.0,5.668114511352418,22,0,0
PASSAU,DE,1549,804,745,0.4809554551323435,2,7.0,6.987088444157521,19,0,0
PAVIA,IT,1396,682,714,0.5114613180515759,2,6.0,6.406876790830945,19,0,0
PERPIGNAN,FR,12556,4208,8348,0.6648614208346607,2,6.0,5.998247849633641,25,0,0
PERUGIA,IT,11514,2255,9259,0.8041514677783568,2,6.0,5.83003300330033,23,0,0
PESARO,IT,3337,995,2342,0.701827989211867,2,6.0,5.858555588852263,22,0,0
PILA,PL,881,458,423,0.48013620885357544,2,6.0,5.979568671963678,21,0,0
PLAUEN,DE,1867,787,1080,0.578468130690948,2,6.0,6.170326727370113,20,0,0
PLOVDIV,BG,3615,755,2860,0.7911479944674965,2,4.0,4.693499308437068,21,0,0
PLZEN,CZ,3055,1041,2014,0.6592471358428805,2,6.0,5.747954173486089,22,0,0
PODGORICA,ME,1085,427,658,0.6064516129032258,2,6.0,5.941013824884792,20,0,0
PRESOV,SK,1305,554,751,0.5754789272030651,2,6.0,6.035249042145594,20,0,0
PRILEP,MK,700,183,517,0.7385714285714285,2,5.0,4.99,16,0,0
PRISTINA,XK,974,403,571,0.5862422997946612,2,6.0,6.006160164271047,17,0,0
REYKJAVIK,IS,3166,983,2183,0.6895135818066962,1,5.0,5.199936828806065,21,0,0
RIJEKA,HR,1174,524,650,0.5536626916524702,2,6.0,6.146507666098808,22,0,0
SALZBURG,AT,2428,790,1638,0.6746293245469522,2,6.0,6.039126853377265,20,0,0
SATU_MARE,RO,1709,498,1211,0.708601521357519,2,5.0,5.305441778818023,20,0,0
SHKODER,AL,286,106,180,0.6293706293706294,2,5.0,5.031468531468532,18,0,0
STAVANGER,NO,2799,1005,1794,0.6409431939978564,1,6.0,5.972132904608789,22,0,0
TARBES,FR,2783,1005,1778,0.6388789076536112,2,6.0,5.973769313690262,20,0,0
TOLEDO,ES,3443,1121,2322,0.6744118501306999,2,5.0,5.4231774615161195,22,0,0
TULCEA,RO,1282,535,747,0.5826833073322932,2,5.0,5.414976599063962,22,0,0
USTI_NAD_LABEM,CZ,1762,722,1040,0.5902383654937571,2,6.0,6.085698070374574,21,0,0
VALLETTA,MT,3727,783,2944,0.7899114569358734,2,5.0,5.185403810034881,21,0,0
VASTERAS,SE,7792,1272,6520,0.8367556468172485,2,5.0,4.9707392197125255,23,0,0
WORCESTER,UK,1023,301,722,0.7057673509286413,2,5.0,5.728250244379277,17,0,0
ZILINA,SK,1465,587,878,0.5993174061433447,2,6.0,5.752901023890785,20,0,0
